dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0,temperature,humidity,pressure,vocAqi,bvocEq,gasEst,co2Eq,hour,minute,second,latitudeCoordinate,longitudeCoordinate,gpsQuality,numberOfSatellites,horizontalDilution,altitude,undulation
2024-08-22 00:00:00-05:00,424719.3,118069.45,47005.9,3360.55,301.5,12.9,0.0,0.38866337388753885,3.3059031128883363,8.682629585266113,11.758302021026612,12.849621438980103,13.263686370849609,13.292046165466308,28.34000015258789,46.526666005452476,990.4500122070312,165.98666381835938,5.713333288828532,0.0,1860.7866617838542,4.0,55.0,20.0,32.98597938739401,-96.74794966730421,1.0,12.0,1.1100000143051147,236.73333231608072,-25.299999237060547
2024-08-22 00:05:00-05:00,368014.85,109813.55,42092.1,2910.7,261.2,15.0,0.0,0.3367727741599083,3.0500252723693846,7.864692234992981,10.528614616394043,11.474036264419556,11.957855033874512,11.995400047302246,28.292500019073486,46.359999656677246,990.5075073242188,151.83250045776367,4.439999938011169,0.0,1693.9875183105469,5.0,4.0,24.5,32.98597938739401,-96.74794966730421,1.0,12.0,1.100000023841858,233.875,-25.299999237060547
2024-08-22 00:10:00-05:00,424466.5,126254.05,49876.35,3519.8,292.4,9.25,0.0,0.38843191713094705,3.5078926563262938,9.212926268577576,12.434338712692261,13.49239501953125,13.797328901290893,13.802565145492554,28.226666768391926,45.70333353678385,990.5266723632812,144.23666381835938,3.863333304723104,0.0,1602.7733561197917,5.0,4.0,28.0,32.98597938739401,-96.74794966730421,1.0,12.0,1.1200000047683716,233.66666666666666,-25.299999237060547
2024-08-22 00:15:00-05:00,397387.8947368421,115831.36842105263,44402.94736842105,3245.315789473684,270.2631578947368,15.052631578947368,0.0,0.36365227165975067,3.2255948844708895,8.304571227023477,11.274802609493857,12.253433930246453,12.73230246493691,12.763992259376927,28.196666717529297,45.68333307902018,990.5400187174479,145.4566650390625,3.926666736602783,0.0,1612.5433756510417,5.0,15.0,2.0,32.98597938739401,-96.74794966730421,1.0,12.0,1.1800000270207722,225.23333231608072,-25.299999237060547
2024-08-22 00:20:00-05:00,405799.9,121267.7,44849.95,3183.1,268.15,15.25,0.0,0.3713501006364822,3.3676106691360475,8.497722172737122,11.410935401916504,12.382027339935302,12.868249654769897,12.922840309143066,28.31333351135254,45.153333028157554,990.5533243815104,146.23333231608072,3.9533334573109946,0.0,1617.1666259765625,5.0,15.0,5.5,32.98597938739401,-96.74794966730421,1.0,12.0,1.274999976158142,225.3000030517578,-25.299999237060547
2024-08-22 00:25:00-05:00,382172.6,107043.4,42308.2,2963.6,252.05,6.2,0.0,0.3497286170721054,2.9945388317108153,7.833920240402222,10.546350049972535,11.458891153335571,11.667687559127808,11.670745134353638,28.110000133514404,45.60249996185303,990.4974975585938,145.8400001525879,3.8975000381469727,0.0,1608.0825500488281,5.0,25.0,40.0,32.98597938739401,-96.74794966730421,1.0,12.0,0.9800000190734864,225.8999938964844,-25.299999237060547
2024-08-22 00:30:00-05:00,348606.05,104823.45,40501.85,2715.15,255.1,13.95,0.0,0.3190117910504341,2.9089691758155825,7.541744089126587,10.026895523071289,10.95085163116455,11.398507404327393,11.450869846343995,28.09666697184245,45.403334299723305,990.5133260091146,149.92333475748697,4.146666765213013,0.0,1649.2233072916667,5.0,25.0,43.0,32.98597938739401,-96.74794966730421,1.0,12.0,0.9800000190734864,225.73333231608072,-25.299999237060547
2024-08-22 00:35:00-05:00,417701.5789473684,112957.57894736843,44550.63157894737,2905.157894736842,262.2631578947368,10.421052631578947,0.0,0.3822414608378159,3.1731766148617395,8.269065756546823,10.927938109950015,11.87744537152742,12.217231097974276,12.221817769502339,28.086666742960613,45.539999643961586,990.5566609700521,149.31000264485678,4.083333333333333,0.0,1638.0433349609375,5.0,32.5,26.25,32.98597938739401,-96.74794966730421,1.0,12.0,0.875,221.85000228881836,-25.299999237060547
2024-08-22 00:40:00-05:00,390548.65,111263.85,41800.55,2969.85,225.55,5.8,0.0,0.35739350914955137,3.106479358673096,7.887795519828797,10.60590329170227,11.422884845733643,11.619179391860962,11.663272809982299,28.03000005086263,45.58999888102213,990.6100056966146,154.62999471028647,4.433333237965901,0.0,1693.163330078125,5.0,35.0,23.0,32.98597938739401,-96.74794966730421,1.0,12.0,0.8399999936421713,220.8999989827474,-25.299999237060547
2024-08-22 00:45:00-05:00,390985.05,110793.7,42286.95,3108.2,281.6,14.85,0.0,0.3577929019927978,3.095262038707733,7.932227921485901,10.777157545089722,11.796207857131957,12.271450328826905,12.30244688987732,28.014999866485596,45.642499923706055,990.6125030517577,156.45999908447266,4.5350000858306885,0.0,1708.4024963378906,5.0,45.0,32.0,32.98597938739401,-96.74794966730421,1.0,12.0,0.9366666475931803,224.66666666666666,-25.299999237060547
2024-08-22 00:50:00-05:00,434136.3157894737,126095.68421052632,50735.63157894737,3392.2631578947367,279.2631578947368,17.157894736842106,0.0,0.39728092519860514,3.512828324970446,9.316167806324206,12.420817977503726,13.431595199986509,13.978534447519403,13.996425076534873,27.97333335876465,45.813332875569664,990.6700032552084,160.0500030517578,4.776666482289632,0.0,1743.1199951171875,5.0,45.0,35.0,32.98597938739401,-96.74794966730421,1.0,12.0,0.7866666515668234,225.0,-25.299999237060547
