dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0,temperature,humidity,pressure,vocAqi,bvocEq,gasEst,co2Eq,hour,minute,second,latitudeCoordinate,longitudeCoordinate,gpsQuality,numberOfSatellites,horizontalDilution,altitude,undulation
2024-08-22 00:00:00-05:00,109465.4705882353,58381.470588235294,25551.0,2511.176470588235,168.47058823529412,16.470588235294116,8.529411764705882,0.09146538552115942,1.4085647183306076,4.077162882860969,6.175788150114172,8.382427187526927,10.152713523191565,17.437469566569607,29.010000228881836,48.38999938964844,989.4499816894531,152.9550018310547,3.034999966621399,0.0,1443.6400146484375,4.0,57.0,58.0,32.98695698280339,-96.75022827497874,2.0,12.0,0.75,227.70000203450522,-25.299999237060547
2024-08-22 00:05:00-05:00,121053.88888888889,63365.555555555555,26496.333333333332,2659.3333333333335,193.44444444444446,6.666666666666667,0.7777777777777778,0.10114821046590801,1.5306859811147053,4.298014534844293,6.520526197221544,9.05332899093628,9.815622912512886,10.484442287021214,28.730000495910645,48.2599983215332,989.4600219726562,147.375,2.7949999570846558,0.0,1388.1099853515625,4.0,58.0,1.0,32.98695698280339,-96.75022827497874,2.0,12.0,0.75,227.3999938964844,-25.299999237060547
2024-08-22 00:10:00-05:00,98440.0,54075.0,23994.9,2349.9,164.2,4.9,4.8,0.0822528906166553,1.3021954476833344,3.8082796335220337,5.772245931625366,7.922308540344238,8.492614316940308,12.673756551742553,28.059999465942383,48.630001068115234,989.4400024414062,141.83999633789062,2.559999942779541,0.0,1331.3900146484375,5.0,10.0,7.0,32.98695698280339,-96.75022827497874,2.0,12.0,0.6600000262260437,226.8999938964844,-25.299999237060547
2024-08-22 00:15:00-05:00,123768.46666666666,73133.53333333334,33878.066666666666,2560.866666666667,190.13333333333333,11.4,5.266666666666667,0.10341632962226863,1.7533201297124228,5.291601705551147,7.431665897369385,9.922869682312012,11.160371621449789,15.617861398061116,28.640000343322754,47.84000015258789,989.4950256347656,137.5999984741211,2.409999966621399,0.0,1290.5150146484375,5.0,10.0,9.0,32.98695698280339,-96.75022827497874,2.0,12.0,0.6866666674613953,227.0666707356771,-25.299999237060547
2024-08-22 00:20:00-05:00,102096.0,54037.71428571428,28193.14285714286,2718.714285714286,215.14285714285714,6.857142857142857,3.4285714285714284,0.0853074831621987,1.3044132505144392,4.248971428189959,6.520989213671003,9.338447162083217,10.090514932359968,12.973793847220284,29.06999969482422,46.41999816894531,989.5,124.33999633789062,1.9900000095367432,0.0,1164.5999755859375,5.0,10.0,12.0,32.98695698280339,-96.75022827497874,2.0,12.0,0.699999988079071,227.1999969482422,-25.299999237060547
2024-08-22 00:25:00-05:00,88537.06666666667,43508.13333333333,21626.133333333335,2217.0666666666666,167.26666666666668,7.333333333333333,1.6666666666666667,0.07397836794455842,1.0555340727170308,3.3142208099365233,5.166989676157633,7.3579152425130205,8.167982610066732,9.588267580668132,28.956666946411133,46.746665954589844,989.4866536458334,118.9566650390625,1.8366667032241821,0.0,1111.4200032552083,5.0,22.0,18.0,32.98695698280339,-96.75022827497874,2.0,12.0,0.7599999904632568,225.6999969482422,-25.299999237060547
2024-08-22 00:30:00-05:00,100238.125,46137.125,21851.625,2260.125,138.625,5.75,0.625,0.08375550899654623,1.1246165037155151,3.406852126121521,5.295829236507416,7.113394260406494,7.754397213459015,8.32602471113205,28.809999465942383,47.2400016784668,989.469970703125,117.83999633789062,1.7999999523162842,0.0,1098.47998046875,5.0,22.0,21.0,32.98695698280339,-96.75022827497874,2.0,12.0,0.7599999904632568,225.8000030517578,-25.299999237060547
2024-08-22 00:35:00-05:00,123251.30769230769,67137.61538461539,29130.53846153846,2574.6153846153848,160.30769230769232,3.769230769230769,8.461538461538462,0.10298435389995572,1.6176206240287194,4.660061396085299,6.811728734236497,8.911221247452955,9.35019118969257,16.540827751159668,28.90999984741211,46.69999885559082,989.5150146484375,122.45000076293945,1.909999966621399,0.0,1137.2849731445312,5.0,34.0,26.0,32.98695698280339,-96.75022827497874,2.0,12.0,0.7699999809265137,228.93333435058594,-25.299999237060547
2024-08-22 00:40:00-05:00,84442.63157894737,42868.57894736842,21209.315789473683,2189.0526315789475,152.89473684210526,5.421052631578948,5.473684210526316,0.07055725784678203,1.0376827183522677,3.2528359764500667,5.082236967588726,7.085411322744269,7.694662319986444,12.313330198589124,28.820000171661377,47.01249885559082,989.5599975585938,121.14999961853027,1.8725000321865082,0.0,1122.7675170898438,5.0,34.0,28.5,32.98695698280339,-96.75022827497874,2.0,12.0,0.7699999809265137,228.6999969482422,-25.299999237060547
2024-08-22 00:45:00-05:00,96069.16666666667,45627.833333333336,22403.166666666668,2304.0,202.66666666666666,4.5,0.0,0.08027186368902521,1.1096498767534893,3.449501951535543,5.374898672103882,8.030155579249064,8.566545486450195,8.566545486450195,28.3799991607666,47.88999938964844,989.6199951171876,135.2899932861328,2.25,0.0,1246.3499755859375,5.0,48.0,5.0,32.98695698280339,-96.75022827497874,2.0,12.0,0.7599999904632568,227.8000030517578,-25.299999237060547
